,cap_shape,cap_surface,cap_color,bruises,odor,gill_attachment,gill_spacing,gill_size,gill_color,stalk_shape,stalk_surface_above_ring,stalk_surface_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_color,ring_number,ring_type,spore_print_color,population,habitat
1287,f,s,g,f,n,f,w,b,h,t,f,s,w,w,w,o,e,k,s,g
6411,x,s,n,f,f,f,c,n,b,t,k,k,p,p,w,o,e,w,v,d
4564,x,y,y,f,f,f,c,b,g,e,k,k,b,n,w,o,l,h,y,p
3565,x,f,y,f,f,f,c,b,p,e,k,k,b,n,w,o,l,h,v,g
3892,x,f,g,f,f,f,c,b,g,e,k,k,n,b,w,o,l,h,v,g
270,x,s,w,t,l,f,c,b,n,e,s,s,w,w,w,o,p,k,n,m
7382,k,y,e,f,y,f,c,n,b,t,k,s,w,p,w,o,e,w,v,d
1754,f,y,n,t,p,f,c,n,n,e,s,s,w,w,w,o,p,n,s,g
4407,f,f,g,f,f,f,c,b,g,e,k,k,p,n,w,o,l,h,v,p
3263,x,y,g,t,n,f,c,b,u,t,s,s,w,p,w,o,p,n,y,d
7589,k,y,e,f,y,f,c,n,b,t,k,k,w,w,w,o,e,w,v,d
4389,x,y,g,f,f,f,c,b,h,e,k,k,p,p,w,o,l,h,v,g
6404,f,s,e,f,s,f,c,n,b,t,k,s,w,p,w,o,e,w,v,l
2590,x,y,e,t,n,f,c,b,p,t,s,s,g,p,w,o,p,k,y,d
2993,f,f,n,t,n,f,c,b,n,t,s,s,g,g,w,o,p,n,y,d
7982,k,s,n,f,y,f,c,n,b,t,s,s,p,p,w,o,e,w,v,d
7959,k,y,e,f,f,f,c,n,b,t,k,s,w,p,w,o,e,w,v,l
1465,x,y,g,t,n,f,c,b,p,t,s,s,g,w,w,o,p,k,v,d
1660,f,f,g,f,n,f,w,b,h,t,f,s,w,w,w,o,e,k,s,g
778,x,s,y,t,l,f,c,b,n,e,s,s,w,w,w,o,p,n,n,g
7198,f,y,n,f,y,f,c,n,b,t,s,s,w,w,w,o,e,w,v,p
5170,x,y,g,f,f,f,c,b,p,e,k,k,p,p,w,o,l,h,y,g
5782,f,s,p,t,n,f,c,b,r,e,s,s,w,w,w,t,p,r,v,m
3566,f,f,g,t,n,f,c,b,u,t,s,s,g,w,w,o,p,n,y,d
7290,k,s,n,f,n,a,c,b,o,e,s,s,o,o,n,o,p,b,c,l
1232,f,f,g,f,n,f,w,b,k,t,f,s,w,w,w,o,e,k,a,g
6329,f,y,e,f,f,f,c,n,b,t,s,k,w,p,w,o,e,w,v,p
194,x,s,y,t,a,f,c,b,k,e,s,s,w,w,w,o,p,n,n,m
2041,f,f,n,t,n,f,c,b,n,t,s,s,p,w,w,o,p,k,y,d
6332,f,y,e,f,f,f,c,n,b,t,s,s,p,w,w,o,e,w,v,l
2416,f,f,n,t,n,f,c,b,w,t,s,s,g,p,w,o,p,n,v,d
4776,f,f,g,f,f,f,c,b,p,e,k,k,b,p,w,o,l,h,v,p
1417,x,s,n,f,n,f,w,b,n,t,f,s,w,w,w,o,e,k,a,g
5417,x,s,n,t,n,f,c,b,e,e,s,s,e,e,w,t,e,w,c,w
3701,x,y,g,f,f,f,c,b,p,e,k,k,b,b,w,o,l,h,y,g
2564,f,f,g,t,n,f,c,b,n,t,s,s,p,p,w,o,p,k,v,d
35,x,f,y,t,l,f,w,n,w,t,s,s,w,w,w,o,p,n,v,d
1172,f,f,w,f,n,f,w,b,p,t,f,f,w,w,w,o,e,n,a,g
997,f,s,w,t,a,f,w,n,w,t,s,s,w,w,w,o,p,u,v,d
6422,x,s,e,f,f,f,c,n,b,t,k,k,w,w,w,o,e,w,v,l
6577,f,s,n,f,y,f,c,n,b,t,s,k,p,p,w,o,e,w,v,l
95,x,s,w,t,a,f,c,b,g,e,s,s,w,w,w,o,p,n,s,g
6168,x,s,n,f,y,f,c,n,b,t,s,k,w,p,w,o,e,w,v,l
1989,f,s,n,t,p,f,c,n,n,e,s,s,w,w,w,o,p,k,s,u
1991,x,f,g,t,n,f,c,b,p,t,s,s,p,p,w,o,p,n,v,d
3235,x,f,g,f,f,f,c,b,h,e,k,k,b,n,w,o,l,h,v,g
7483,f,y,y,f,n,f,w,n,y,e,y,y,y,y,y,o,e,w,c,l
4833,f,f,y,f,f,f,c,b,g,e,k,k,p,n,w,o,l,h,v,p
4766,x,y,g,f,f,f,c,b,p,e,k,k,n,b,w,o,l,h,y,d
445,x,y,n,t,l,f,c,b,p,e,s,y,w,w,w,o,p,k,s,g
1908,f,s,g,f,n,f,w,b,h,t,s,f,w,w,w,o,e,k,a,g
2751,x,f,g,t,n,f,c,b,p,t,s,s,p,p,w,o,p,n,y,d
6441,x,s,n,f,f,f,c,n,b,t,s,k,w,p,w,o,e,w,v,l
2620,f,f,n,t,n,f,c,b,u,t,s,s,g,g,w,o,p,n,v,d
685,x,y,w,t,a,f,c,b,g,e,s,s,w,w,w,o,p,k,n,m
3426,x,s,g,f,c,f,w,n,p,e,s,s,w,w,w,o,p,k,v,d
1868,x,s,n,f,n,f,w,b,n,t,s,f,w,w,w,o,e,k,a,g
3926,x,y,y,f,f,f,c,b,p,e,k,k,b,b,w,o,l,h,y,g
3044,f,y,g,t,n,f,c,b,w,t,s,s,w,w,w,o,p,n,v,d
3376,f,f,e,t,n,f,c,b,u,t,s,s,w,p,w,o,p,n,y,d
3165,x,f,w,f,c,f,c,n,g,e,s,s,w,w,w,o,p,n,s,d
2574,x,y,n,t,n,f,c,b,p,t,s,s,g,w,w,o,p,k,v,d
4896,f,y,g,f,f,f,c,b,p,e,k,k,b,p,w,o,l,h,y,g
4028,f,s,b,t,f,f,c,b,p,t,s,f,w,w,w,o,p,h,s,g
365,f,f,n,f,n,f,c,n,p,e,s,s,w,w,w,o,p,k,v,u
6194,b,s,g,f,n,f,w,b,w,e,s,k,w,w,w,t,p,w,n,g
1280,b,y,y,t,a,f,c,b,w,e,s,s,w,w,w,o,p,k,n,m
5654,x,y,y,f,f,f,c,b,h,e,k,k,p,n,w,o,l,h,v,g
3671,f,f,e,t,n,f,c,b,u,t,s,s,w,w,w,o,p,k,v,d
5925,f,y,g,f,f,f,c,b,h,e,k,k,n,p,w,o,l,h,y,p
6729,f,y,n,f,f,f,c,n,b,t,s,s,p,w,w,o,e,w,v,l
327,x,y,n,t,p,f,c,n,n,e,s,s,w,w,w,o,p,n,v,u
7612,b,s,n,f,n,a,c,b,y,e,s,s,o,o,o,o,p,n,c,l
7901,k,y,n,f,s,f,c,n,b,t,s,k,p,w,w,o,e,w,v,p
7434,k,s,g,f,n,f,w,b,p,e,s,s,w,w,w,t,p,w,s,g
5262,k,y,n,f,n,f,c,n,w,e,k,y,w,y,w,o,e,w,v,d
