,is_poisonous
1287,0
6411,1
4564,1
3565,1
3892,1
270,0
7382,1
1754,1
4407,1
3263,0
7589,1
4389,1
6404,1
2590,0
2993,0
7982,1
7959,1
1465,0
1660,0
778,0
7198,1
5170,1
5782,1
3566,0
7290,0
1232,0
6329,1
194,0
2041,0
6332,1
2416,0
4776,1
1417,0
5417,0
3701,1
2564,0
35,0
1172,0
997,0
6422,1
6577,1
95,0
6168,1
1989,1
1991,0
3235,1
7483,1
4833,1
4766,1
445,0
1908,0
2751,0
6441,1
2620,0
685,0
3426,1
1868,0
3926,1
3044,0
3376,0
3165,1
2574,0
4896,1
4028,1
365,0
6194,0
1280,0
5654,1
3671,0
5925,1
6729,1
327,1
7612,0
7901,1
7434,0
5262,1
5425,1
1982,0
5362,0
2733,0
7447,1
3181,1
3559,1
2340,0
21,1
6468,1
2050,0
7392,1
1357,0
5313,0
3393,1
2589,0
2950,0
2445,0
7398,0
2633,0
4601,1
983,0
7380,1
6359,1
230,0
3465,1
6009,1
2968,0
2585,0
4130,1
1907,0
1361,1
3747,0
3194,0
799,0
2938,0
714,0
3817,0
405,0
631,0
1346,1
3735,0
4216,1
4256,1
7659,0
5892,1
4190,1
6334,1
5286,1
3324,0
142,0
4861,1
3814,1
5132,1
6319,1
7248,1
4109,0
3615,0
1891,0
5897,1
4685,1
6351,1
7915,0
4553,1
996,0
4962,1
4092,0
7895,0
7890,0
3760,0
2856,0
7100,1
5379,1
5840,1
1459,1
5442,1
968,0
5745,1
7755,1
5958,1
6627,1
7884,1
6823,1
7732,1
2532,0
567,0
7080,1
1462,0
5610,1
6571,1
7143,0
2684,0
4931,0
3154,0
1153,0
3801,1
6624,1
5868,1
3651,0
6182,1
4110,1
6133,1
198,0
2651,0
3338,0
7404,0
335,0
7782,0
2477,0
522,0
2681,0
5694,1
954,0
5761,1
7123,0
4147,1
1600,0
796,0
7554,1
5737,0
6940,1
7815,1
6176,1
3317,0
7794,1
6535,1
5329,1
1602,0
3834,1
3670,1
1429,1
2158,0
4475,1
5133,1
3824,0
5180,1
1105,0
1089,0
3715,0
6573,1
1299,0
6053,1
8044,0
4425,1
62,0
3262,1
6728,1
5451,1
5740,1
387,0
2747,0
2904,0
1848,0
1158,0
4943,1
5996,0
1515,0
8000,0
7522,0
4062,0
1319,0
4897,1
3889,1
4142,0
5355,1
4303,1
8121,0
4978,1
2635,0
2398,0
1175,0
4129,0
991,0
1461,0
3022,0
7227,1
1242,1
3258,1
8060,1
4777,0
4568,1
3031,0
1617,0
2547,0
4153,1
492,1
4832,1
5598,0
2581,0
5950,1
4720,1
82,0
7866,0
6928,0
1260,1
8036,0
3434,0
7200,0
7698,0
5423,1
188,0
3887,1
1448,0
6783,1
6039,1
3070,0
1636,1
2405,0
2971,0
7745,0
205,1
6007,1
8048,1
7196,1
5874,0
7492,1
3480,0
3994,1
566,0
959,0
3968,1
7136,0
5368,1
7675,1
2853,0
3868,1
1716,0
5771,1
597,0
3861,0
656,0
6971,1
5247,1
1737,0
4824,0
1273,0
3389,1
3092,0
2695,0
1559,0
4797,1
5104,1
5124,1
4351,1
6621,1
5218,1
1318,0
1173,0
8009,0
1238,0
3498,0
